componente_1,componente_2,classe,ambiente
-5.657146453857,25.476612091064,1,Laboratório
22.382164001465,-6.676825523376,3,Ginásio
-33.246303558350,47.946498870850,2,Saguão principal
-35.381904602051,4.576467037201,2,Saguão principal
-8.962273597717,-19.545381546021,3,Ginásio
16.255767822266,-17.891942977905,3,Ginásio
-16.139680862427,-10.823278427124,3,Ginásio
-26.325294494629,15.272609710693,2,Saguão principal
33.500907897949,-28.655981063843,0,Corredor
14.579282760620,-14.542375564575,0,Corredor
41.425571441650,-29.407070159912,0,Corredor
-28.770647048950,-4.987800121307,1,Laboratório
-11.423516273499,-22.075376510620,1,Laboratório
25.161861419678,3.802376508713,3,Ginásio
16.898672103882,-39.464431762695,0,Corredor
8.775815010071,-19.858257293701,3,Ginásio
-12.509113311768,13.612999916077,1,Laboratório
-18.835683822632,-10.787206649780,0,Corredor
-18.165449142456,-25.839872360229,2,Saguão principal
4.832137584686,-40.983741760254,0,Corredor
13.371218681335,-32.267593383789,2,Saguão principal
-9.638983726501,30.429199218750,1,Laboratório
29.014120101929,32.182815551758,2,Saguão principal
31.038852691650,-48.716373443604,0,Corredor
0.353239446878,-20.867887496948,3,Ginásio
-42.910964965820,22.407735824585,2,Saguão principal
-37.001071929932,-4.767682552338,2,Saguão principal
0.492912054062,-51.578128814697,0,Corredor
-30.528524398804,-1.784984230995,2,Saguão principal
6.267553806305,-19.797130584717,3,Ginásio
3.747151613235,-31.380859375000,0,Corredor
-21.725551605225,9.473847389221,1,Laboratório
15.679227828979,-13.992543220520,0,Corredor
-40.502510070801,-11.225358963013,2,Saguão principal
-10.344767570496,-28.089771270752,2,Saguão principal
23.622434616089,5.956165790558,1,Laboratório
-6.256135940552,39.285430908203,2,Saguão principal
-16.629934310913,28.886974334717,2,Saguão principal
-21.590677261353,9.389668464661,1,Laboratório
-0.649501442909,-21.224708557129,3,Ginásio
-23.961164474487,5.279175758362,1,Laboratório
23.609170913696,18.372871398926,1,Laboratório
-52.121540069580,-2.821148872375,2,Saguão principal
11.235500335693,33.333957672119,0,Corredor
20.755760192871,34.303176879883,0,Corredor
-11.402684211731,28.914669036865,2,Saguão principal
-21.418067932129,9.280256271362,1,Laboratório
26.970867156982,7.901381015778,3,Ginásio
-18.339561462402,2.114862203598,2,Saguão principal
-10.201910018921,18.822181701660,1,Laboratório
-4.087249279022,36.865066528320,0,Corredor
24.673437118530,25.954416275024,0,Corredor
